CEO,address,address2,city,companyName,country,description,employees,exchange,industry,issueType,phone,primarySicCode,sector,securityName,state,symbol,tags,website,zip
,,,,American Assets Trust Inc,,"American Assets Trust, Inc. is a full service, vertically integrated and self-administered real estate investment trust, or REIT, headquartered in San Diego, California. The Company has over 50 years of acquiring, improving, developing and managing premier office, retail and residential properties throughout the United States in some of the nation's most dynamic, high-barrier-to-entry markets primarily in Southern California, Northern California, Oregon, Washington and Hawaii. The Company's office portfolio comprises approximately 3.4 million square feet, and its retail portfolio comprises approximately 3.1 million rentable square feet. In addition, the Company owns one mixed-use property (including approximately 97,000 rentable square feet of retail space and a 369-room all-suite hotel) and 2,112 multifamily units. In 2011, the Company was formed to succeed to the real estate business of American Assets, Inc., a privately held corporation founded in 1967 and, as such, has significant experience, long-standing relationships and extensive knowledge of its core markets, submarkets and asset classes.",,"NEW YORK STOCK EXCHANGE, INC.",Other Financial Vehicles ,cs,,6798,Finance and Insurance,American Assets Trust Inc,,AAT,"['Finance', 'Real Estate Investment Trusts', 'Finance and Insurance', 'Other Financial Vehicles ']",,
Morgan Poliquin,1333 Johnston St Suite 210,,Vancouver,Almaden Minerals Ltd,Canada,,,NYSE MKT LLC,Gold Ore Mining ,cs,16046897644,1041,"Mining, Quarrying, and Oil and Gas Extraction",Almaden Minerals Ltd,British Columbia,AAU,"['Non-Energy Minerals', 'Precious Metals', 'Mining, Quarrying, and Oil and Gas Extraction', 'Gold Ore Mining ']",http://www.almadenminerals.com/,V6H 3R9
John Dietrich,2000 Westchester Ave,,Purchase,Atlas Air Worldwide Holdings Inc.,US,"Atlas Air Worldwide is a leading global provider of outsourced aircraft and aviation operating services. It is the parent company of Atlas Air, Inc., Southern Air Holdings, Inc. and Titan Aviation Holdings, Inc., and is the majority shareholder of Polar Air Cargo Worldwide, Inc. Its companies operate the world's largest fleet of 747 freighter aircraft and provide customers the broadest array of Boeing 747, 777, 767 and 737 aircraft for domestic, regional and international cargo and passenger operations.",,NASDAQ/NGS (GLOBAL SELECT MARKET),Postal Service,cs,19147018000,4522,Transportation and Warehousing,Atlas Air Worldwide Holdings Inc.,New York,AAWW,"['Transportation', 'Air Freight/Couriers', 'Transportation and Warehousing', 'Postal Service']",https://www.atlasair.com/,10577-2543
,,,,BlackRock Institutional Trust Company N.A.,,,,NASDAQ/NMS (GLOBAL MARKET),,et,,,,BlackRock Institutional Trust Company N.A. - BTC iShares MSCI All Coun,,AAXJ,"['Miscellaneous', 'Investment Trusts/Mutual Funds']",,
,,,,AllianceBernstein Holding Lp,,,,"NEW YORK STOCK EXCHANGE, INC.",Securities and Commodity Exchanges,,,6282,Finance and Insurance,AllianceBernstein Holding Lp - Unit,,AB,"['Finance', 'Investment Managers', 'Finance and Insurance', 'Securities and Commodity Exchanges']",,
Bjorn Rosengren,Affolternstrasse 44,,Zuerich,ABB Ltd.,Switzerland,,,"NEW YORK STOCK EXCHANGE, INC.",Switchgear and Switchboard Apparatus Manufacturing ,ad,41433177111,3613,Manufacturing,ABB Ltd. - ADR,Zuerich,ABB,"['Producer Manufacturing', 'Electrical Products', 'Manufacturing', 'Switchgear and Switchboard Apparatus Manufacturing ']",https://new.abb.com/,8050
Richard Gonzalez,1 N Waukegan Rd,,North Chicago,Abbvie Inc,US,,30000,"NEW YORK STOCK EXCHANGE, INC.",Pharmaceutical Preparation Manufacturing ,cs,18479327900,2834,Manufacturing,Abbvie Inc,Illinois,ABBV,"['Health Technology', 'Pharmaceuticals: Major', 'Manufacturing', 'Pharmaceutical Preparation Manufacturing ']",https://www.abbvie.com/,60064-1802
Steven Collis,1300 Morris Dr,,Chesterbrook,Amerisource Bergen Corp.,US,"AmerisourceBergen provides pharmaceutical products, value-driving services and business solutions that improve access to care. Tens of thousands of healthcare providers, veterinary practices and livestock producers trust us as their partner in the pharmaceutical supply chain. Global manufacturers depend on us for services that drive commercial success for their products. Through our daily work-and powered by our 22,000 associates-we are united in our responsibility to create healthier futures. AmerisourceBergen is ranked #10 on the Fortune 500, with more than $185 billion in annual revenue. The company is headquartered in Valley Forge, Pa. and has a presence in 50+ countries.",22000,"NEW YORK STOCK EXCHANGE, INC.","Medical, Dental, and Hospital Equipment and Supplies Merchant Wholesalers ",cs,16107277000,5122,Wholesale Trade,Amerisource Bergen Corp.,Pennsylvania,ABC,"['Distribution Services', 'Medical, Dental, and Hospital Equipment and Supplies Merchant Wholesalers ', 'Medical Distributors', 'Wholesale Trade']",https://www.amerisourcebergen.com/,19087-5594
,,,,AbCellera Biologics Inc,,,,NASDAQ/NGS (GLOBAL SELECT MARKET),,cs,,2834,,AbCellera Biologics Inc,,ABCL,[],,
Alan Hirzel,Hills Road,,Cambridge,Abcam,United Kingdom,,,NASDAQ/NGS (GLOBAL SELECT MARKET),Research and Development in Biotechnology ,ad,441223696000,,"Professional, Scientific, and Technical Services",Abcam - ADR (Sponsored),Cambridgeshire,ABCM,"['Health Technology', 'Biotechnology']",http://www.abcam.com/,CB20AX
Jeffrey Davis,1330 Avenue of the Americas Fl 33,,New York,Abeona Therapeutics Inc,US,,,NASDAQ CAPITAL MARKET,Pharmaceutical Preparation Manufacturing ,cs,16468134701,2834,Manufacturing,Abeona Therapeutics Inc,New York,ABEO,"['Health Technology', 'Pharmaceuticals: Generic', 'Manufacturing', 'Pharmaceutical Preparation Manufacturing ']",https://abeonatherapeutics.com/,10019-5442
,,,,Unified Series Trust,,,,NYSE ARCA,,et,,,,Unified Series Trust - Absolute Core Strategy ETF,,ABEQ,"['Miscellaneous', 'Investment Trusts/Mutual Funds']",,
,,,,Ambev S.A.,,,,"NEW YORK STOCK EXCHANGE, INC.",Breweries,ad,,2082,Manufacturing,Ambev S.A. - ADR,,ABEV,"['Consumer Non-Durables', 'Beverages: Alcoholic', 'Manufacturing', 'Breweries']",,
David Hult,2905 Premiere Pkwy Ste 300,,Duluth,Asbury Automotive Group Inc,US,,,"NEW YORK STOCK EXCHANGE, INC.",New Car Dealers ,cs,17704188200,5511,Retail Trade,Asbury Automotive Group Inc,Georgia,ABG,"['Retail Trade', 'Specialty Stores', 'New Car Dealers ']",https://www.asburyauto.com/,30097-5240
,,,,ABG Acquisition Corp I,,,,NASDAQ CAPITAL MARKET,,cs,,6770,,ABG Acquisition Corp I - Class A,,ABGI,[],,
Michael Bristow,11080 Circle Point Rd Ste 140,,Westminster,ARCA biopharma Inc,US,,,NASDAQ CAPITAL MARKET,Pharmaceutical Preparation Manufacturing ,cs,17209402200,2835,Manufacturing,ARCA biopharma Inc,Colorado,ABIO,"['Health Technology', 'Biotechnology', 'Manufacturing', 'Pharmaceutical Preparation Manufacturing ']",http://arcabio.com/,80020-2769
Scott Salmirs,1 Liberty Plz Fl 7,,New York,ABM Industries Inc.,US,,,"NEW YORK STOCK EXCHANGE, INC.",Janitorial Services ,cs,12122970200,7349,Administrative and Support and Waste Management and Remediation Services,ABM Industries Inc.,New York,ABM,"['Miscellaneous Commercial Services', 'Commercial Services', 'Administrative and Support and Waste Management and Remediation Services', 'Janitorial Services ']",https://www.abm.com/,10006-1417
Michael Minogue,22 Cherry Hill Dr,,Danvers,Abiomed Inc.,US,"Abiomed is a publicly-traded medical devices company that develops and manufactures the circulatory support device Impella, the world’s smallest heart pump. The company is headquartered in Danvers, Massachusetts and has three additional offices, two in Germany in the cities of Berlin and Aachen, and another in Tokyo, Japan. Michael R. Minogue is Chairman, CEO & President of the company, with Dr. Thorsten Siess as Chief Technology Officer, Dr. Chuck Simonton as Chief Medical Officer and Dr. David M. Weber as Chief Operating Officer. According to Bloomberg, the company ""engages in the research, development, and sale of medical devices to assist or replace the pumping function of the failing heart. It also provides continuum of care to heart failure patients"". As of 2019, the company had secured five FDA approvals and 715 patents with 622 pending. For fiscal year 2019, Abiomed reported $769.4 million in revenue and reported diluted earnings per share was $5.61 for the year. Abiomed was founded in Danvers, Massachusetts by David M. Lederman in 1981 as Applied Biomedical Corporation. That year, the company commenced the development of an artificial heart. Funded by federal research grants, Lederman partnered with The Texas Heart Institute to develop the AbioCor, a grapefruit-sized electromagnetic device with an internal battery that completely replaces the heart without wires or tubes passing through the skin. In July 2001, AbioCor became the first artificial heart successfully implanted in a patient, where it pumped more than 20 million times. Fourteen of the AbioCor devices were implanted, during clinical trials from 2001 to 2004, with the longest-living recipient surviving 512 days. The AbioCor won FDA approval in 2006 for patients who are near death and do not qualify for a heart transplant.",1371,NASDAQ/NGS (GLOBAL SELECT MARKET),Surgical and Medical Instrument Manufacturing ,cs,19787775410,3841,Manufacturing,Abiomed Inc.,Massachusetts,ABMD,"['Health Technology', 'Medical Specialties', 'Manufacturing', 'Surgical and Medical Instrument Manufacturing ']",http://www.abiomed.com/,01923-2575
Brian Chesky,888 Brannan Street,,San Francisco,Airbnb Inc,US,"Airbnb is a community based on connection and belonging-a community that was born in 2008 when two hosts welcomed three guests to their San Francisco home, and has since grown to 4 million hosts who have welcomed over 800 million guest arrivals to about 100,000 cities in almost every country and region across the globe. Hosts on Airbnb are everyday people who share their worlds to provide guests with the feeling of connection and being at home.",6300,NASDAQ/NGS (GLOBAL SELECT MARKET),Travel Agencies,cs,14158005959,7340,Administrative and Support and Waste Management and Remediation Services,Airbnb Inc - Class A,California,ABNB,[],https://www.airbnb.co.in/,94103
Ivan Kaufman,333 Earle Ovington Blvd Ste 900,,Uniondale,Arbor Realty Trust Inc.,US,,,"NEW YORK STOCK EXCHANGE, INC.",Other Financial Vehicles ,cs,15165064200,6798,Finance and Insurance,Arbor Realty Trust Inc.,New York,ABR,"['Finance', 'Real Estate Investment Trusts', 'Finance and Insurance', 'Other Financial Vehicles ']",https://arbor.com/,11553-3614
Ivan Kaufman,333 Earle Ovington Blvd Ste 900,,Uniondale,Arbor Realty Trust Inc.,US,,,"NEW YORK STOCK EXCHANGE, INC.",Other Financial Vehicles ,ps,15165064200,6798,Finance and Insurance,Arbor Realty Trust Inc. - 8.25% PRF PERPETUAL USD 25 - Ser A,New York,ABR-A,"['Finance', 'Real Estate Investment Trusts', 'Finance and Insurance', 'Other Financial Vehicles ']",https://arbor.com/,11553-3614
Ivan Kaufman,333 Earle Ovington Blvd Ste 900,,Uniondale,Arbor Realty Trust Inc.,US,,,"NEW YORK STOCK EXCHANGE, INC.",Other Financial Vehicles ,ps,15165064200,6798,Finance and Insurance,Arbor Realty Trust Inc. - 7.75% PRF PERPETUAL USD 25 - Ser B,New York,ABR-B,"['Finance', 'Real Estate Investment Trusts', 'Finance and Insurance', 'Other Financial Vehicles ']",https://arbor.com/,11553-3614
Ivan Kaufman,333 Earle Ovington Blvd Ste 900,,Uniondale,Arbor Realty Trust Inc.,US,,,"NEW YORK STOCK EXCHANGE, INC.",Other Financial Vehicles ,ps,15165064200,6798,Finance and Insurance,Arbor Realty Trust Inc. - 8.50% PRF PERPETUAL USD 25 - Ser C,New York,ABR-C,"['Finance', 'Real Estate Investment Trusts', 'Finance and Insurance', 'Other Financial Vehicles ']",https://arbor.com/,11553-3614
Geoff Haydon,1055 Dunsmuir Street,Suite 1400,Vancouver,Absolute Software Corp,Canada,,,NASDAQ/NGS (GLOBAL SELECT MARKET),"Data Processing, Hosting, and Related Services",cs,16047309851,7371,Information,Absolute Software Corp,British Columbia,ABST,"['Technology Services', 'Packaged Software', 'Information', 'Data Processing, Hosting, and Related Services']",https://www.absolute.com/,V7X 1K8
Robert Ford,100 Abbott Park Rd,,Abbott Park,Abbott Laboratories,US,,,"NEW YORK STOCK EXCHANGE, INC.",Pharmaceutical Preparation Manufacturing ,cs,12246676100,2834,Manufacturing,Abbott Laboratories,Illinois,ABT,"['Health Technology', 'Medical Specialties', 'Manufacturing', 'Pharmaceutical Preparation Manufacturing ']",https://www.abbott.com,60064-3500
,,,,Allegiance Bancshares Inc,,"Allegiance is a Houston, Texas based bank holding company. Through its wholly owned subsidiary, Allegiance Bank, Allegiance provides a diversified range of commercial banking services primarily to small- to medium-sized businesses and individual customers within the Houston region. Allegiance operates 28 full-service banking locations, with 27 bank offices in the Houston metropolitan area and one bank office in Beaumont, just outside of the Houston metropolitan area.",,NASDAQ/NMS (GLOBAL MARKET),Commercial Banking ,cs,,6022,Finance and Insurance,Allegiance Bancshares Inc,,ABTX,"['Finance', 'Regional Banks', 'Finance and Insurance', 'Commercial Banking ']",,
William Collier,701 Veterans Circle,,Warminster,Arbutus Biopharma Corp,US,,,NASDAQ/NGS (GLOBAL SELECT MARKET),Pharmaceutical Preparation Manufacturing ,cs,12674690914,2834,Manufacturing,Arbutus Biopharma Corp,Pennsylvania,ABUS,"['Health Technology', 'Biotechnology', 'Manufacturing', 'Pharmaceutical Preparation Manufacturing ']",http://www.arbutusbio.com/,18974
Douglas Jamieson,191 Mason Street,,Greenwich,Associated Capital Group Inc,US,,,"NEW YORK STOCK EXCHANGE, INC.",Securities and Commodity Exchanges,cs,12036299595,6211,Finance and Insurance,Associated Capital Group Inc - Class A,Connecticut,AC,"['Finance', 'Investment Managers', 'Finance and Insurance', 'Securities and Commodity Exchanges']",http://www.associated-capital-group.com,06830
Antonio Carrillo,500 N Akard St Ste 400,,Dallas,Arcosa Inc,US,,,"NEW YORK STOCK EXCHANGE, INC.",Water and Sewer Line and Related Structures Construction ,cs,19729426500,3523,Construction,Arcosa Inc,Texas,ACA,"['Producer Manufacturing', 'Trucks/Construction/Farm Machinery', 'Construction', 'Water and Sewer Line and Related Structures Construction ']",https://www.arcosa.com/,75201-3332
,,,,Acies Acquisition Corp,,,,NASDAQ CAPITAL MARKET,,cs,,6770,,Acies Acquisition Corp - Class A,,ACAC,[],,
,,,,Acies Acquisition Corp,,,,NASDAQ CAPITAL MARKET,,,,6770,,Acies Acquisition Corp - Units (1 Ord Share Class A & 1/3 War),,ACACU,"['Finance', 'Financial Conglomerates']",,
,,,,Acies Acquisition Corp,,,,NASDAQ CAPITAL MARKET,,wt,,6770,,Acies Acquisition Corp - Warrants (30/11/2027),,ACACW,[],,
Stephen Davis,3611 Valley Centre Dr Ste 300,,San Diego,Acadia Pharmaceuticals Inc,US,,,NASDAQ/NGS (GLOBAL SELECT MARKET),Pharmaceutical Preparation Manufacturing ,cs,18585582871,2834,Manufacturing,Acadia Pharmaceuticals Inc,California,ACAD,"['Health Technology', 'Biotechnology', 'Manufacturing', 'Pharmaceutical Preparation Manufacturing ']",http://www.acadia-pharm.com/,92130-3331
Michael Singer,500-10355 Jasper Ave NW,,Edmonton,Aurora Cannabis Inc,Canada,,,"NEW YORK STOCK EXCHANGE, INC.",Medicinal and Botanical Manufacturing ,cs,16043625207,2833,Manufacturing,Aurora Cannabis Inc,Alberta,ACB,"['Health Technology', 'Pharmaceuticals: Other', 'Process Industries', 'Agricultural Commodities/Milling', 'Manufacturing', 'Medicinal and Botanical Manufacturing ']",https://www.auroramj.com/,T5J 1Y6
Douglas Williams,945 E Paces Ferry Rd NE Ste 1600,,Atlanta,Atlantic Capital Bancshares Inc,US,"Atlantic Capital Bancshares, Inc. , with assets of $2.9 billion, is a publicly-traded bank holding company headquartered in Atlanta, Georgia. Atlantic Capital is a 2019 and 2020 Best Places to Work and Best Banks to Work For recipient. Atlantic Capital offers commercial and not-for-profit banking services, specialty corporate financial services, private banking services and commercial real estate finance solutions to privately held companies and individuals in the Atlanta area, as well as specialized financial services for select clients nationally.",,NASDAQ/NGS (GLOBAL SELECT MARKET),Commercial Banking ,cs,14049956050,6022,Finance and Insurance,Atlantic Capital Bancshares Inc,Georgia,ACBI,"['Finance', 'Regional Banks', 'Finance and Insurance', 'Commercial Banking ']",,30326-1362
William Bayless,12700 Hill Country Blvd Ste T-200,,Austin,American Campus Communities Inc.,US,,,"NEW YORK STOCK EXCHANGE, INC.",Other Financial Vehicles ,cs,15127321000,6798,Finance and Insurance,American Campus Communities Inc.,Texas,ACC,"['Finance', 'Real Estate Investment Trusts', 'Finance and Insurance', 'Other Financial Vehicles ']",https://www.americancampus.com/,78738-6307
,,,,Accolade Inc,,,,NASDAQ/NGS (GLOBAL SELECT MARKET),All Other Information Services,cs,,7389,Information,Accolade Inc,,ACCD,"['Health Services', 'Medical/Nursing Services', 'Technology Services', 'Information Technology Services', 'Information', 'All Other Information Services']",,
Boris Elisman,4 Corporate Dr,,Lake Zurich,Acco Brands Corporation,US,,,"NEW YORK STOCK EXCHANGE, INC.",Office Supplies (except Paper) Manufacturing,cs,18475419500,3951,Manufacturing,Acco Brands Corporation,Illinois,ACCO,"['Producer Manufacturing', 'Office Equipment/Supplies', 'Manufacturing', 'Office Supplies (except Paper) Manufacturing']",https://www.accobrands.com/,60047-8924
,,,,Accel Entertainment Inc,,"Accel is a leading distributed gaming operator in the United States on an Adjusted EBITDA basis, and a preferred partner for local business owners in the Illinois market. Accel's business consists of the installation, maintenance and operation of VGTs, redemption devices that disburse winnings and contain ATM functionality, and other amusement devices in authorized non-casino locations such as restaurants, bars, taverns, convenience stores, liquor stores, truck stops, and grocery stores.",,"NEW YORK STOCK EXCHANGE, INC.",Casinos (except Casino Hotels),cs,,7900,"Arts, Entertainment, and Recreation",Accel Entertainment Inc - Class A1,,ACEL,"['Finance', 'Financial Conglomerates', 'Consumer Services', 'Movies/Entertainment', 'Arts, Entertainment, and Recreation', 'Casinos (except Casino Hotels)']",,
Christopher Schelling,One Gateway Center (300 Washington St.),Suite 351,Newton,Acer Therapeutics Inc,US,"Acer is a pharmaceutical company focused on the acquisition, development and commercialization of therapies for serious rare and life-threatening diseases with significant unmet medical needs. Acer's pipeline includes four programs: ACER-001 (a taste-masked, immediate release formulation of sodium phenylbutyrate) for the treatment of various inborn errors of metabolism, including urea cycle disorders (UCDs) and Maple Syrup Urine Disease (MSUD); emetine hydrochloride, a host-directed therapy against a variety of infectious diseases, initially for the treatment of patients with COVID-19; EDSIVO™ (celiprolol) for the treatment of vascular Ehlers-Danlos syndrome (vEDS) in patients with a confirmed type III collagen (COL3A1) mutation; and osanetant for the treatment of induced Vasomotor Symptoms (iVMS). Each of Acer's product candidates is believed to present a comparatively de-risked profile, having one or more of a favorable safety profile, clinical proof-of-concept data, mechanistic differentiation and/or accelerated paths for development through specific programs and procedures established by the FDA.",,NASDAQ CAPITAL MARKET,Pharmaceutical Preparation Manufacturing ,cs,18449026100,2834,Manufacturing,Acer Therapeutics Inc,Massachusetts,ACER,"['Health Technology', 'Pharmaceuticals: Major', 'Manufacturing', 'Pharmaceutical Preparation Manufacturing ']",https://acertx.com/,02458
,,,,ALPS Fund Services,,,,CBOE BZX U.S. EQUITIES EXCHANGE,,et,,,,ALPS Fund Services - ALPS Clean Energy ETF,,ACES,"['Miscellaneous', 'Investment Trusts/Mutual Funds']",,
Chen Schor,500 Boylston St Fl 12,,Boston,Adicet Bio Inc,US,,,NASDAQ/NMS (GLOBAL MARKET),Medicinal and Botanical Manufacturing ,cs,16174822333,2834,Manufacturing,Adicet Bio Inc,Massachusetts,ACET,"['Distribution Services', 'Medical Distributors', 'Health Technology', 'Biotechnology', 'Pharmaceuticals: Major', 'Manufacturing', 'Medicinal and Botanical Manufacturing ']",https://www.adicetbio.com/,02116-3740
,,,,ACE Convergence Acquisition Corp,,,,NASDAQ CAPITAL MARKET,Semiconductor and Related Device Manufacturing ,cs,,3674,Manufacturing,ACE Convergence Acquisition Corp - Class A,,ACEV,"['Finance', 'Financial Conglomerates']",,
,,,,ACE Convergence Acquisition Corp,,,,NASDAQ CAPITAL MARKET,Semiconductor and Related Device Manufacturing ,,,3674,Manufacturing,ACE Convergence Acquisition Corp - Units (1 Ord Class A & 1/2 War),,ACEVU,"['Finance', 'Financial Conglomerates']",,
,,,,ACE Convergence Acquisition Corp,,,,NASDAQ CAPITAL MARKET,Semiconductor and Related Device Manufacturing ,wt,,3674,Manufacturing,ACE Convergence Acquisition Corp - Warrants (30/09/2027),,ACEVW,"['Finance', 'Financial Conglomerates']",,
Marc Grandisson,Waterloo House,,100 Pitts Bay Road,Arch Capital Group Ltd,Bermuda,"Arch Capital Group Ltd., a Bermuda-based company with approximately $15.2 billion in capital at Sept. 30, 2020, provides insurance, reinsurance and mortgage insurance on a worldwide basis through its wholly owned subsidiaries.",,NASDAQ/NGS (GLOBAL SELECT MARKET),Direct Property and Casualty Insurance Carriers ,cs,4412789250,6331,Finance and Insurance,Arch Capital Group Ltd,Pembroke,ACGL,"['Finance', 'Property/Casualty Insurance', 'Multi-Line Insurance', 'Finance and Insurance', 'Direct Property and Casualty Insurance Carriers ']",http://www.archcapgroup.com/,HM 08
Marc Grandisson,Waterloo House,,100 Pitts Bay Road,Arch Capital Group Ltd,Bermuda,,,NASDAQ/NGS (GLOBAL SELECT MARKET),Direct Property and Casualty Insurance Carriers ,ps,4412789250,6331,Finance and Insurance,Arch Capital Group Ltd - 5.45% PRF PERPETUAL USD 25 - Ser F 1/1000 th ,Pembroke,ACGLO,"['Finance', 'Property/Casualty Insurance', 'Multi-Line Insurance', 'Finance and Insurance', 'Direct Property and Casualty Insurance Carriers ']",http://www.archcapgroup.com/,HM 08
Marc Grandisson,Waterloo House,,100 Pitts Bay Road,Arch Capital Group Ltd,Bermuda,,,NASDAQ/NGS (GLOBAL SELECT MARKET),Direct Property and Casualty Insurance Carriers ,ps,4412789250,6331,Finance and Insurance,Arch Capital Group Ltd - 5.25% PRF PERPETUAL USD 25 - Ser E 1/1000th I,Pembroke,ACGLP,"['Finance', 'Property/Casualty Insurance', 'Multi-Line Insurance', 'Finance and Insurance', 'Direct Property and Casualty Insurance Carriers ']",http://www.archcapgroup.com/,HM 08
,"No. 62, Xizhimen North Avenue, Haidian District",,Beijing,Aluminum Corporation Of China Limited.,China (Mainland),,,"NEW YORK STOCK EXCHANGE, INC.",Alumina Refining and Primary Aluminum Production ,ad,861082298322,3334,Manufacturing,Aluminum Corporation Of China Limited. - ADR,Beijing,ACH,"['Non-Energy Minerals', 'Aluminum', 'Manufacturing', 'Alumina Refining and Primary Aluminum Production ']",http://www.chalco.com.cn/,100082
Debra Osteen,6100 Tower Cir Ste 1000,,Franklin,Acadia Healthcare Company Inc,US,,,NASDAQ/NGS (GLOBAL SELECT MARKET),General Medical and Surgical Hospitals ,cs,16158616000,8093,Health Care and Social Assistance,Acadia Healthcare Company Inc,Tennessee,ACHC,"['Health Services', 'Medical/Nursing Services', 'Health Care and Social Assistance', 'General Medical and Surgical Hospitals ']",https://www.acadiahealthcare.com/,37067-1509
